Matrix ID,Matrix Tag Comment,Matrix Type,Diff. Matrix Info.,Branch/Terr.,Home Branch,Bill To ID,Customer ID,Customer Name,Price Class,Outside Salesperson,Price Line,SellGroupAll,SellGroupMscAll,SellGroupMregAll,PROD_NBR,Product Description,Price Date Ovrd.,LIST,UMSP,CMP,STD-COST,REP-COST,AVG-COST,LASTCOST,Lnd Cost,Avg Lnd,Price Basis#,Price Formula,Qty Break Basis,Qty Break Formula,Qty Brk. Form Constant,Qty Break Points,Qty Break UOM,Qty Brk. Form Multplier,Split Qty,Cost Basis#,Cost Formula,Effective Date,Expire Date,Enable Rnding Rules
1029~159~2197~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MILWTOOL,MILWTOOL,MILWTOOL ACC,MTA,2197,MILWTL 9 5TPI 5PK SAWZALL BLADE,,24.300,23.400,16.710,9.734,9.450,9.450,9.450,9.450,9.450,5,*1.6667,5,*1.6667,0,,,166670000,N,,,04/01/2022,06/30/2022,N
1044~159~6251~19694.2,,N,,1044,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,MALCO,MALCO,MSC HVAC TOOLS,TM1,6251,MALCO LEATHER HANDLE TINNING HAMMER,,89.800,0,92.290,44.900,43.592,43.592,43.592,43.592,43.592,28,GP12.47,28,GP12.47,0,,,114246544,N,,,12/01/2021,06/30/2022,N
1029~159~667107~19815,,N,,1029,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,QUIKRETE,QUIKRETE,QUIKRETE,QUIKRETE,667107,QUIKCRT QUIKRETE CONC MIX 80LB BAG,,10.375,0,10.840,4.150,4.030,4.030,4.030,4.030,4.030,28,GP25.01,28,GP25.01,0,,,133351113,N,,,04/01/2022,06/30/2022,N
1002~159~10619~19633.2,,O,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DURAL,DURAL,POLYGASF,GP1,10619,DURLINE COATED MIP ADPT W/STIFF,,32.380,0,82.510,33.351,32.380,32.380,32.380,32.380,32.380,,,,,,,,,N,5,$32.3800,10/01/2021,12/31/2022,N
1002~159~142796~19825,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DIVTECH,DIVTECH,DIVTECH,DIVTECH,142796,DIVERS WIRE CONN RED76B 100PK,,17.150,0,12.218,6.860,6.660,6.660,6.660,6.660,6.660,1,$9.800,1,$9.800,9.80000,,,0,N,,,04/11/2022,05/06/2022,N
1002~159~581120~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581120,REHAU 1X3/4 EVERLOC POLY CPL,,5.050,0,5.778,2.237,2.172,2.172,2.172,2.172,2.172,28,GP16.92,28,GP16.92,0,,,120365912,N,,,12/01/2021,06/30/2022,N
1002~159~609696~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,609696,REHAU 2X1-1/4X2 EVERLOC BRS TEE LF,,234.360,0,248.070,103.798,100.775,100.775,100.775,100.775,100.775,28,GP13.22,28,GP13.22,0,,,115233925,N,,,12/01/2021,06/30/2022,N
1039~159~1068950~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REFRIG,REFRIG,REFRIG,REFRIG,1068950,REFRIG R507 25LB CYLINDER R50725,,1050.317,0,585.470,420.127,407.890,407.890,407.890,407.890,407.890,4,$350.0000,4,$350.0000,350.00000,,,0,N,,,04/01/2022,06/30/2022,N
1002~159~581163~19694.2,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,REHAU,REHAU,REHAU,REHAU,581163,REHAU 1/2 EVERLOC POLY PLUG,,1.280,0,1.469,0.567,0.550,0.550,0.550,0.550,0.550,28,GP15.08,28,GP15.08,0,,,117757890,N,,,12/01/2021,06/30/2022,N
1002~159~107721~19825.1,,N,,1002,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,DIVTECH,DIVTECH,DIVTECH,GAE,107721,DIVERS BLUE WIRE NUTS 623-002,,9.120,0,7.337,3.646,3.540,3.540,3.540,3.540,3.540,1,$5.210,1,$5.210,5.21000,,,0,N,,,04/11/2022,05/06/2022,N
1039~159~63856~19815,,N,,1039,1000,,159,CONTRACT CUSTOMER CASH,CMP,H1000,CODY,CODY,MSC DUCT ELBOWS,DP8,63856,CODY 6 SGL WALL DUCT ADJ 90 ELL,,6.335,0,4.127,2.534,2.460,2.460,2.460,2.460,2.460,1,$4.1000,1,$4.1000,4.10000,,,0,N,,,04/01/2022,06/30/2022,N
